App Name,App Hash,Category
genius_long_lyrics,389f45f0d3ae7e0a5aa07f41bb980db058606c7da805f4db8448fbb8666ec567,Music_and_Audio
bandlab_music,a605ce0cd2f4dd275fb3ea668fe682bf3e32d267a32e6404b4a2f6ce651fa420,Music_and_Audio
music_audio_editor,1655b32323e5cb23e67548588c78569d2ba387f6c03af03d3101cfa1eab6ffba,Music_and_Audio
audiomack,8621fbb08ea74d8b0f51184af198d4cd4b342e68e79ac896aaa50cbe9871eae5,Music_and_Audio
music_player,d64be9e6a92303e219527d0bc667276ed52e3d05c94952c4a3cd2359dced176a,Music_and_Audio
led_keyboard_colorful_light,899bf0de6a0e0af374477e51b6f3a7c567226e13cdd86879df4f3116202c5377,Productivity
do_it_now,762ae765f7b6cc3377a3c92e371b1ba32724f21b2d792b7b658223beda1d7829,Productivity
notepad,947e8ccc879fa7055746b201f884601f184487f2f2e8dcf3d62a95be0af12ce0,Productivity
flashcards_world,bd255e3cd017ac7641b83fd8e344ca2cf7c86385af38db2fe953af021181ffdc,Productivity
easy_notes,717c96486520afadd7fdfa7ee917f5158b91652158063a9edad8abfedbc61a32,Productivity
calendar2025,a4fe2ab2fb5c388f3a76949863b477da67967b91e6dcca9ccf4316141fdc2431,Productivity
simple_calendar,d26a8f6bf0ef732de53294babba444b181899a268451db0657ed8c2fb7052863,Productivity
to_do_list_schedule_planner,9877ca7097ccd12ea942f825266c65f04e7853138e7986f8c99d1392f1a71804,Productivity
note_todo,b9c1c960558168ace06ee136cf1a8a4303741a0c4000ad9afde8a3fb7c24cdc1,Productivity
calculator,69693f34ed6d9aac45c361c8fd85bf6a6563fa8c929564fefcb8071428151d85,Productivity
davinci,e20fd936cc7a72cd2ad6d1d9cf04e1937c180fc09bff5bc7b1e1415c013fbc6c,Art_and_Design
wavy,7255f7027ffb0149ad1222e5b249492e73ef254413d1490b8cdde17fc8481a6c,Art_and_Design
genius_photo_editor,1368b8e46b219bdae3db1706f8f7626fe899e22a68e3750ca423be90ee94b3e3,Art_and_Design
x_launcher,ba8c3a76b55ac4847674d5cfbfb5fced1ebcaf4838ca0c1f216a11064a497924,Art_and_Design
