App_Name,SDK_Build_Version,Main_Class,Main_Activity,Has_Ads,Hash_SHA_256,Advertising_Classes,Genre,File_Size_In_MB,Suspicous,Able_To_Instrument,Able_To_Install,Signed_Location,Try_Manual_Testing
27948DE94F5099EBE68C6BCF30E5A46FF178084B195D5497AF31501E33163374.apk,32.0,com.seraphic.openinet.pre,com.seraphic.openinet.ui.main.MainActivity,Yes,27948de94f5099ebe68c6bcf30e5a46ff178084b195d5497af31501e33163374,[],"['FAMILY', ' ENTERTAINMENT']",15,False,No,Yes,../Data/Application_Analysis/27948DE94F5099EBE68C6BCF30E5A46FF178084B195D5497AF31501E33163374.apk/signed27948DE94F5099EBE68C6BCF30E5A46FF178084B195D5497AF31501E33163374.apk,
1D1094028D6D533F7F7F3E5F9D8B094EAE1935573DE51BD6A96B5EBAFCD4244A.apk,33.0,com.casualbox.studio.butcher,com.unity3d.player.UnityPlayerActivity,Yes,1d1094028d6d533f7f7f3e5f9d8b094eae1935573de51bd6a96b5ebafcd4244a,[],"['FAMILY', ' GAME_CASUAL']",41,False,No,Yes,../Data/Application_Analysis/1D1094028D6D533F7F7F3E5F9D8B094EAE1935573DE51BD6A96B5EBAFCD4244A.apk/signed1D1094028D6D533F7F7F3E5F9D8B094EAE1935573DE51BD6A96B5EBAFCD4244A.apk,
26C9193B989249B5B367E6AB10BD628858C8DFC31C50C5294EF1B4E46178F9F2.apk,33.0,com.hawsoft.mobile.speechtrans,com.hawsoft.mobile.speechtrans.Appstart,Yes,26c9193b989249b5b367e6ab10bd628858c8dfc31c50c5294ef1b4e46178f9f2,[],"['FAMILY', ' TRAVEL_AND_LOCAL']",16,False,No,Yes,../Data/Application_Analysis/26C9193B989249B5B367E6AB10BD628858C8DFC31C50C5294EF1B4E46178F9F2.apk/signed26C9193B989249B5B367E6AB10BD628858C8DFC31C50C5294EF1B4E46178F9F2.apk,
0AC6E4ABD31A8170FAD329C7A1DB9BFA06CC879168BBD5037862DBF2968CF1E5.apk,31.0,com.kbzbank.kpaycustomer,com.huawei.kbz.ui.base.LaunchActivity,Yes,0ac6e4abd31a8170fad329c7a1db9bfa06cc879168bbd5037862dbf2968cf1e5,[],"['FAMILY', ' FINANCE']",48,False,No,Yes,../Data/Application_Analysis/0AC6E4ABD31A8170FAD329C7A1DB9BFA06CC879168BBD5037862DBF2968CF1E5.apk/signed0AC6E4ABD31A8170FAD329C7A1DB9BFA06CC879168BBD5037862DBF2968CF1E5.apk,
2325BCD1B9460D842B1D7BA9730BC30FB51D24430C470907640CD2ACEF48B2D1.apk,31.0,com.ycc365plus.aws,com.arcsoft.closeli.SplashActivity,Yes,2325bcd1b9460d842b1d7ba9730bc30fb51d24430c470907640cd2acef48b2d1,[],"['FAMILY', ' TOOLS']",84,False,No,Yes,../Data/Application_Analysis/2325BCD1B9460D842B1D7BA9730BC30FB51D24430C470907640CD2ACEF48B2D1.apk/signed2325BCD1B9460D842B1D7BA9730BC30FB51D24430C470907640CD2ACEF48B2D1.apk,
209943B80D67E5453F7A551271A2BDE36EDD1DA7A8564D7F197CBE4320B32E51.apk,33.0,mayyrob.cdmr,mayyrob.cdmr.main,Yes,209943b80d67e5453f7a551271a2bde36edd1da7a8564d7f197cbe4320b32e51,"['anywheresoftware.b4a.admobwrapper.AdViewWrapper.jimple', 'anywheresoftware.b4a.admobwrapper.AdViewWrapper$InterstitialAdWrapper$1.jimple', 'anywheresoftware.b4a.admobwrapper.AdViewWrapper$1.jimple']","['FAMILY', ' AUTO_AND_VEHICLES']",6,True,No,No,,
1FEB7E6DD377ED31C3829E0CD54BD0C683B1A4A60673F4E77AA5336BFD714E70.apk,32.0,com.seraphic.openinet.pre,com.seraphic.openinet.ui.main.MainActivity,Yes,1feb7e6dd377ed31c3829e0cd54bd0c683b1a4a60673f4e77aa5336bfd714e70,[],"['FAMILY', ' ENTERTAINMENT']",14,False,No,Yes,../Data/Application_Analysis/1FEB7E6DD377ED31C3829E0CD54BD0C683B1A4A60673F4E77AA5336BFD714E70.apk/signed1FEB7E6DD377ED31C3829E0CD54BD0C683B1A4A60673F4E77AA5336BFD714E70.apk,
10F252B1DED5430799A57928B8B6300C15B445431F50F221103DDC7C4367EE39.apk,33.0,com.stardust.kissreader,com.stardust.kissreader.SplashActivity,Yes,10f252b1ded5430799a57928b8b6300c15b445431f50f221103ddc7c4367ee39,[],"['FAMILY', ' BOOKS_AND_REFERENCE']",34,False,No,Yes,../Data/Application_Analysis/10F252B1DED5430799A57928B8B6300C15B445431F50F221103DDC7C4367EE39.apk/signed10F252B1DED5430799A57928B8B6300C15B445431F50F221103DDC7C4367EE39.apk,
2C338A77F0EFF6B811433351889D2574CDB6F56D93E6806FFE03FCDE2F8C863F.apk,31.0,in.odiaportal.odiajataka,io.kodular.iambhabani99.Odia_Jataka.Screen1,Yes,2c338a77f0eff6b811433351889d2574cdb6f56d93e6806ffe03fcde2f8c863f,[],"['FAMILY', ' LIFESTYLE']",11,False,No,Yes,../Data/Application_Analysis/2C338A77F0EFF6B811433351889D2574CDB6F56D93E6806FFE03FCDE2F8C863F.apk/signed2C338A77F0EFF6B811433351889D2574CDB6F56D93E6806FFE03FCDE2F8C863F.apk,
0468A367CA1F5ECFBE35DEB6081C814400FE119AA94924A0C6E6F7D64D7F4BDF.apk,32.0,com.thehot.halovpnpro,com.thehot.halovpnpro.ui.SplashActivity,Yes,0468a367ca1f5ecfbe35deb6081c814400fe119aa94924a0c6e6f7d64d7f4bdf,[],"['FAMILY', ' TOOLS']",83,False,No,No,,
1A277ECE817DCF1F7BB1E0F75A9A94637CAD740F13CCAA6EDCD6361EC91E01B5.apk,33.0,com.meecast.casttv,com.meecast.casttv.ui.SplashActivity,Yes,1a277ece817dcf1f7bb1e0f75a9a94637cad740f13ccaa6edcd6361ec91e01b5,[],"['FAMILY', ' VIDEO_PLAYERS']",25,False,No,Yes,../Data/Application_Analysis/1A277ECE817DCF1F7BB1E0F75A9A94637CAD740F13CCAA6EDCD6361EC91E01B5.apk/signed1A277ECE817DCF1F7BB1E0F75A9A94637CAD740F13CCAA6EDCD6361EC91E01B5.apk,
233E1C9BC76DA49003484AD56171AAB33617D2F6D4E3C76AACA96D4DB344DDE6.apk,33.0,com.jntc.clockwavesync,com.jntc.clockwavesync.WelcomActivity,Yes,233e1c9bc76da49003484ad56171aab33617d2f6d4e3c76aaca96d4db344dde6,[],"['FAMILY', ' TOOLS']",12,False,No,Yes,../Data/Application_Analysis/233E1C9BC76DA49003484AD56171AAB33617D2F6D4E3C76AACA96D4DB344DDE6.apk/signed233E1C9BC76DA49003484AD56171AAB33617D2F6D4E3C76AACA96D4DB344DDE6.apk,
0069A3CFFC419660BF6D820E3D4B2337C5EB94E07C3867AB0FA5A3106E7DA51A.apk,31.0,com.htwig.luvmehair,com.htwig.luvmehair.app.ui.splash.SplashActivity,Yes,0069a3cffc419660bf6d820e3d4b2337c5eb94e07c3867ab0fa5a3106e7da51a,[],"['FAMILY', ' BEAUTY']",22,False,No,Yes,../Data/Application_Analysis/0069A3CFFC419660BF6D820E3D4B2337C5EB94E07C3867AB0FA5A3106E7DA51A.apk/signed0069A3CFFC419660BF6D820E3D4B2337C5EB94E07C3867AB0FA5A3106E7DA51A.apk,
09D2ADF8AF1448A5E98D9E09F76218E3AF6A4D585FBA3B20B120E95740C5FC03.apk,33.0,com.lomolsoft.language.learnhebrew,com.lomolsoft.language.learnhebrew.activity.WelActivity,Yes,09d2adf8af1448a5e98d9e09f76218e3af6a4d585fba3b20b120e95740c5fc03,[],"['FAMILY', ' EDUCATION']",71,False,No,Yes,../Data/Application_Analysis/09D2ADF8AF1448A5E98D9E09F76218E3AF6A4D585FBA3B20B120E95740C5FC03.apk/signed09D2ADF8AF1448A5E98D9E09F76218E3AF6A4D585FBA3B20B120E95740C5FC03.apk,
0DFC4B4676053AF9FAAC8D7AEBDF949F6A028B6B144207C6AC968557663F833C.apk,33.0,com.lomolsoft.language.learngreek,com.lomolsoft.language.learngreek.activity.WelActivity,Yes,0dfc4b4676053af9faac8d7aebdf949f6a028b6b144207c6ac968557663f833c,[],"['FAMILY', ' EDUCATION']",61,False,No,Yes,../Data/Application_Analysis/0DFC4B4676053AF9FAAC8D7AEBDF949F6A028B6B144207C6AC968557663F833C.apk/signed0DFC4B4676053AF9FAAC8D7AEBDF949F6A028B6B144207C6AC968557663F833C.apk,
07FEDACF80C0B72F0B5D351FF3CE2CA34D6FB6724DABC85296C9D411984ED572.apk,33.0,com.lomolsoft.dict.fedict,com.lomolsoft.dict.fedict.activity.WelActivity,Yes,07fedacf80c0b72f0b5d351ff3ce2ca34d6fb6724dabc85296c9d411984ed572,[],"['FAMILY', ' BOOKS_AND_REFERENCE']",48,False,No,Yes,../Data/Application_Analysis/07FEDACF80C0B72F0B5D351FF3CE2CA34D6FB6724DABC85296C9D411984ED572.apk/signed07FEDACF80C0B72F0B5D351FF3CE2CA34D6FB6724DABC85296C9D411984ED572.apk,
14BFF18B072C20B908197B9CE16C3271F7CCB77B5ED13C92C8853D6ED2626C07.apk,33.0,com.jntc.clockwavesync,com.jntc.clockwavesync.WelcomActivity,Yes,14bff18b072c20b908197b9ce16c3271f7ccb77b5ed13c92c8853d6ed2626c07,[],"['FAMILY', ' TOOLS']",12,False,No,Yes,../Data/Application_Analysis/14BFF18B072C20B908197B9CE16C3271F7CCB77B5ED13C92C8853D6ED2626C07.apk/signed14BFF18B072C20B908197B9CE16C3271F7CCB77B5ED13C92C8853D6ED2626C07.apk,
1A8812BC583CD77C61EE641165A561C3F1828CE1EC41F3BFA8939B9515E24EE6.apk,33.0,com.lomolsoft.dict.hedict,com.lomolsoft.dict.hedict.activity.WelActivity,Yes,1a8812bc583cd77c61ee641165a561c3f1828ce1ec41f3bfa8939b9515e24ee6,[],"['FAMILY', ' BOOKS_AND_REFERENCE']",56,False,No,Yes,../Data/Application_Analysis/1A8812BC583CD77C61EE641165A561C3F1828CE1EC41F3BFA8939B9515E24EE6.apk/signed1A8812BC583CD77C61EE641165A561C3F1828CE1EC41F3BFA8939B9515E24EE6.apk,
295EAF8C49997AF6D32F4C775D847DAAA508A1B0E2524107863DB962C82ABA44.apk,33.0,com.lomolsoft.language.learnbulgarian,com.lomolsoft.language.learnbulgarian.activity.WelActivity,Yes,295eaf8c49997af6d32f4c775d847daaa508a1b0e2524107863db962c82aba44,[],"['FAMILY', ' EDUCATION']",71,False,No,Yes,../Data/Application_Analysis/295EAF8C49997AF6D32F4C775D847DAAA508A1B0E2524107863DB962C82ABA44.apk/signed295EAF8C49997AF6D32F4C775D847DAAA508A1B0E2524107863DB962C82ABA44.apk,
0C01126C72E8CEABB6727ED1CCCC82A365AEAA416BE21DAC5661597AB7037B6B.apk,33.0,tunnel.entclass.vpn,com.technore.tunnel.activities.MainActivity,Yes,0c01126c72e8ceabb6727ed1cccc82a365aeaa416be21dac5661597ab7037b6b,"['u3.bw.jimple', 'u3.o00.jimple', 'v1.b.jimple', 'u3.sp.jimple']","['FAMILY', ' TOOLS']",92,True,No,Yes,../Data/Application_Analysis/0C01126C72E8CEABB6727ED1CCCC82A365AEAA416BE21DAC5661597AB7037B6B.apk/signed0C01126C72E8CEABB6727ED1CCCC82A365AEAA416BE21DAC5661597AB7037B6B.apk,
2B89A45769DA200B5FCEAE4DBB324433A3D4FE769C6EF4DBF3268086C6B117DB.apk,34.0,cn.trinea.android.developertools,c.b.a,Yes,2b89a45769da200b5fceae4dbb324433a3d4fe769c6ef4dbf3268086c6b117db,[],"['FAMILY', ' TOOLS']",8,False,No,Yes,../Data/Application_Analysis/2B89A45769DA200B5FCEAE4DBB324433A3D4FE769C6EF4DBF3268086C6B117DB.apk/signed2B89A45769DA200B5FCEAE4DBB324433A3D4FE769C6EF4DBF3268086C6B117DB.apk,
1CF0BDEA7AB44EB59F3D4A046D5AF95C0B6FD9BE5410C2C389ED60964BAFC6A0.apk,31.0,com.finetpro,com.finetpro.base.activity.SplashActivity,Yes,1cf0bdea7ab44eb59f3d4a046d5af95c0b6fd9be5410c2c389ed60964bafc6a0,[],"['FAMILY', ' NEWS_AND_MAGAZINES']",31,False,No,Yes,../Data/Application_Analysis/1CF0BDEA7AB44EB59F3D4A046D5AF95C0B6FD9BE5410C2C389ED60964BAFC6A0.apk/signed1CF0BDEA7AB44EB59F3D4A046D5AF95C0B6FD9BE5410C2C389ED60964BAFC6A0.apk,
1A9CC52FFA460B0DE8DE03146A10FE2F21BC45FAB16C4A075C82CB65841BA548.apk,33.0,com.burakgon.gamebooster3,com.burakgon.gamebooster3.ui.activities.splash.SplashActivity,Yes,1a9cc52ffa460b0de8de03146a10fe2f21bc45fab16c4a075c82cb65841ba548,[],"['FAMILY', ' ENTERTAINMENT']",42,False,No,No,,
16E7655E59B6300C942B7046874066C58EBE9E693AC9FEA6AC18CEE70B784440.apk,31.0,com.closeli.eyeplus,com.arcsoft.closeli.SplashActivity,Yes,16e7655e59b6300c942b7046874066c58ebe9e693ac9fea6ac18cee70b784440,[],"['FAMILY', ' TOOLS']",64,False,No,Yes,../Data/Application_Analysis/16E7655E59B6300C942B7046874066C58EBE9E693AC9FEA6AC18CEE70B784440.apk/signed16E7655E59B6300C942B7046874066C58EBE9E693AC9FEA6AC18CEE70B784440.apk,
1155FC5D3EA8FFF10600DDD9696B635CE626F4C1805014A7A735C941AF3ACCA7.apk,33.0,com.ddrmic.yambmp,com.ddrmic.yambmp.main,Yes,1155fc5d3ea8fff10600ddd9696b635ce626f4c1805014a7a735c941af3acca7,"['anywheresoftware.b4a.admobwrapper.AdViewWrapper.jimple', 'anywheresoftware.b4a.admobwrapper.AdViewWrapper$InterstitialAdWrapper$1.jimple', 'anywheresoftware.b4a.admobwrapper.AdViewWrapper$1.jimple']","['FAMILY', ' GAME_BOARD', ' GAME_CASUAL']",11,True,No,No,,
